DEPARTAMENTO_HECHO,AÑO_HECHOS,DELITO,TOTAL_PROCESOS,shape_leng,shape_area,dpto_narea
Cundinamarca,2022,VIOLACION DE DATOS PERSONALES ART 269F LEY 1273 DE 2009,1,13.1242523552,1.82362856343,22370.4571891
Tolima,2022,ACCESO ABUSIVO A UN SISTEMA INFORMATICO ART 269A LEY 1273 DE 2009,2,9.55010974311,1.96502937926,24139.432402
Valle del Cauca,2022,ACCESO ABUSIVO A UN SISTEMA INFORMATICO ART 269A LEY 1273 DE 2009,13,12.6568228841,1.67948958582,20665.581324
Atlántico,2022,"VIOLACION DE DATOS PERSONALES ART 269F LEY 1273 DE 2009, AGRAVADO POR APROVECHARSE DE LA CONFIANZA DEPOSITADA POR EL POSEEDOR DE LA INFORMACION O POR QUIEN TUVIERE UN VINCULO CONTRACTUAL CON ESTE. ART. 269H N3",1,2.57160117315,0.27382342738,3314.45839315
Santander,2022,ACCESO ABUSIVO A UN SISTEMA INFORMATICO ART 269A LEY 1273 DE 2009,1,11.8780221134,2.49910965538,30561.565448
Guaviare,2022,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES ART. 269I LEY 1273 DE 2009,3,19.3941026673,4.50890774976,55543.8675122
Huila,2022,TRANSFERENCIA NO CONSENTIDA DE ACTIVOS VALIENDOSE DE ALGUNA MANIPULACION INFORMATICA O ARTIFICIO SEMEJANTE ART. 269J LEY 1273 DE 2009,1,19.3941026673,4.50890774976,18141.6605485
Bolívar,2022,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES ART. 269I LEY 1273 DE 2009,4,16.2734304452,2.19566893448,26720.3286039
Meta,2022,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES ART. 269I LEY 1273 DE 2009,4,18.1945932784,6.73617147417,82830.3839042
Caldas,2022,ACCESO ABUSIVO A UN SISTEMA INFORMATICO ART 269A LEY 1273 DE 2009,1,6.66450211841,0.60549767869,7425.22016079
Atlántico,2022,VIOLACION DE DATOS PERSONALES ART 269F LEY 1273 DE 2009,2,2.57160117315,0.27382342738,3314.45839315
Cundinamarca,2022,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES ART. 269I LEY 1273 DE 2009,2,13.1242523552,1.82362856343,22370.4571891
Cundinamarca,2022,TRANSFERENCIA NO CONSENTIDA DE ACTIVOS VALIENDOSE DE ALGUNA MANIPULACION INFORMATICA O ARTIFICIO SEMEJANTE ART. 269J LEY 1273 DE 2009,2,13.1242523552,1.82362856343,22370.4571891
Nariño,2022,ACCESO ABUSIVO A UN SISTEMA INFORMATICO ART 269A LEY 1273 DE 2009,1,12.8395081019,2.54843109135,31497.0335099
Córdoba,2022,"VIOLACION DE DATOS PERSONALES ART 269F LEY 1273 DE 2009, AGRAVADO POR REVELAR O DAR A CONOCER EL CONTENIDO DE LA INFORMACION EN PERJUICIO DE OTRO ART. 269H N4",1,9.71124758822,2.05751146679,25086.2825214
"BOGOTÁ, D. C.",2022,"VIOLACION DE DATOS PERSONALES ART 269F LEY 1273 DE 2009, AGRAVADO POR OBTENER PROVECHO PARA SI O PARA UN TERCERO. ART. 269H N5",1,3.76537101301,0.13220788538,1622.8529796
Antioquia,2022,ACCESO ABUSIVO A UN SISTEMA INFORMATICO ART 269A LEY 1273 DE 2009,1,21.4927974328,5.13510342668,62807.0043767
Santander,2022,ACCESO ABUSIVO A UN SISTEMA INFORMATICO ART 269A LEY 1273 DE 2009,1,11.8780221134,2.49910965538,30561.565448
Nariño,2022,VIOLACION DE DATOS PERSONALES ART 269F LEY 1273 DE 2009,1,12.8395081019,2.54843109135,31497.0335099
"BOGOTÁ, D. C.",2022,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES ART. 269I LEY 1273 DE 2009,3,3.76537101301,0.13220788538,1622.8529796
Risaralda,2022,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES ART. 269I LEY 1273 DE 2009,1,4.85153003237,0.28978864568,3556.75006367
Atlántico,2022,ACCESO ABUSIVO A UN SISTEMA INFORMATICO ART 269A LEY 1273 DE 2009,1,2.57160117315,0.27382342738,3314.45839315
Nariño,2022,SUPLANTACION DE SITIOS WEB PARA CAPTURAR DATOS PERSONALES ART 269G LEY 1273 DE 2009,1,12.8395081019,2.54843109135,31497.0335099
Cundinamarca,2022,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES ART. 269I LEY 1273 DE 2009,2,13.1242523552,1.82362856343,22370.4571891
Quindío,2022,TRANSFERENCIA NO CONSENTIDA DE ACTIVOS VALIENDOSE DE ALGUNA MANIPULACION INFORMATICA O ARTIFICIO SEMEJANTE ART. 269J LEY 1273 DE 2009,1,2.5548254469,0.15742372943,1933.57084668
Cauca,2022,"ACCESO ABUSIVO A UN SISTEMA INFORMATICO ART 269A LEY 1273 DE 2009, AGRAVADO POR APROVECHARSE DE LA CONFIANZA DEPOSITADA POR EL POSEEDOR DE LA INFORMACION O POR QUIEN TUVIERE UN VINCULO CONTRACTUAL CON ESTE. ART. 269H N3",1,13.9531135167,2.5344153441,31242.8671159
Valle del Cauca,2022,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES ART. 269I LEY 1273 DE 2009,1,12.6568228841,1.67948958582,20665.581324
Antioquia,2022,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES ART. 269I LEY 1273 DE 2009,1,21.4927974328,5.13510342668,62807.0043767
Caquetá,2022,VIOLACION DE DATOS PERSONALES ART 269F LEY 1273 DE 2009,1,21.2186395305,7.54024098645,92831.2825956
Boyaca,2022,SUPLANTACION DE SITIOS WEB PARA CAPTURAR DATOS PERSONALES ART 269G LEY 1273 DE 2009,1,15.906766577,1.88838670901,23137.9976372
Nariño,2022,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES ART. 269I LEY 1273 DE 2009,1,12.8395081019,2.54843109135,31497.0335099
Cundinamarca,2022,"ACCESO ABUSIVO A UN SISTEMA INFORMATICO ART 269A LEY 1273 DE 2009, AGRAVADO POR UTILIZAR COMO INSTRUMENTO A UN TERCERO DE BUENA FE ART. 269H N7",1,13.1242523552,1.82362856343,22370.4571891
Atlántico,2022,ACCESO ABUSIVO A UN SISTEMA INFORMATICO ART 269A LEY 1273 DE 2009,1,2.57160117315,0.27382342738,3314.45839315
"BOGOTÁ, D. C.",2022,SUPLANTACION DE SITIOS WEB PARA CAPTURAR DATOS PERSONALES ART 269G LEY 1273 DE 2009,165,3.76537101301,0.13220788538,1622.8529796
Antioquia,2022,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES ART. 269I LEY 1273 DE 2009,37,21.4927974328,5.13510342668,62807.0043767
Meta,2022,SUPLANTACION DE SITIOS WEB PARA CAPTURAR DATOS PERSONALES ART 269G LEY 1273 DE 2009,3,18.1945932784,6.73617147417,82830.3839042
Meta,2022,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES ART. 269I LEY 1273 DE 2009,5,18.1945932784,6.73617147417,82830.3839042
Atlántico,2022,ACCESO ABUSIVO A UN SISTEMA INFORMATICO ART 269A LEY 1273 DE 2009,3,2.57160117315,0.27382342738,3314.45839315
Boyaca,2022,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES ART. 269I LEY 1273 DE 2009,3,15.906766577,1.88838670901,23137.9976372
Antioquia,2022,SUPLANTACION DE SITIOS WEB PARA CAPTURAR DATOS PERSONALES ART 269G LEY 1273 DE 2009,21,21.4927974328,5.13510342668,62807.0043767
Antioquia,2022,OBSTACULIZACION ILEGITIMA DEL SISTEMA INFORMATICO O RED DE TELECOMUNICACION ART 269B LEY 1273 DE 2009,3,21.4927974328,5.13510342668,62807.0043767
Norte de Santander,2022,VIOLACION DE DATOS PERSONALES ART 269F LEY 1273 DE 2009,2,10.7038112357,1.79232544093,21856.7542768
Boyaca,2022,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES ART. 269I LEY 1273 DE 2009,2,15.906766577,1.88838670901,23137.9976372
Córdoba,2022,SUPLANTACION DE SITIOS WEB PARA CAPTURAR DATOS PERSONALES ART 269G LEY 1273 DE 2009,2,9.71124758822,2.05751146679,25086.2825214
"BOGOTÁ, D. C.",2022,"OBSTACULIZACION ILEGITIMA DEL SISTEMA INFORMATICO O RED DE TELECOMUNICACION ART 269B LEY 1273 DE 2009, AGRAVADO POR OBTENER PROVECHO PARA SI O PARA UN TERCERO. ART. 269H N5",1,3.76537101301,0.13220788538,1622.8529796
Cundinamarca,2022,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES ART. 269I LEY 1273 DE 2009,1,13.1242523552,1.82362856343,22370.4571891
Magdalena,2022,ACCESO ABUSIVO A UN SISTEMA INFORMATICO ART 269A LEY 1273 DE 2009,3,10.8137685322,1.90926645339,23135.9407566
Antioquia,2022,"SUPLANTACION DE SITIOS WEB PARA CAPTURAR DATOS PERSONALES ART 269G LEY 1273 DE 2009, AGRAVADO POR UTILIZAR COMO INSTRUMENTO A UN TERCERO DE BUENA FE ART. 269H N7",1,21.4927974328,5.13510342668,62807.0043767
Atlántico,2022,VIOLACION DE DATOS PERSONALES ART 269F LEY 1273 DE 2009,1,2.57160117315,0.27382342738,3314.45839315
Risaralda,2022,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES ART. 269I LEY 1273 DE 2009,2,4.85153003237,0.28978864568,3556.75006367
Cundinamarca,2022,ACCESO ABUSIVO A UN SISTEMA INFORMATICO ART 269A LEY 1273 DE 2009,1,13.1242523552,1.82362856343,22370.4571891
Atlántico,2022,TRANSFERENCIA NO CONSENTIDA DE ACTIVOS VALIENDOSE DE ALGUNA MANIPULACION INFORMATICA O ARTIFICIO SEMEJANTE ART. 269J LEY 1273 DE 2009,28,2.57160117315,0.27382342738,3314.45839315
Santander,2022,VIOLACION DE DATOS PERSONALES ART 269F LEY 1273 DE 2009,17,11.8780221134,2.49910965538,30561.565448
Antioquia,2022,VIOLACION DE DATOS PERSONALES ART 269F LEY 1273 DE 2009,2,21.4927974328,5.13510342668,62807.0043767
Antioquia,2022,VIOLACION DE DATOS PERSONALES ART 269F LEY 1273 DE 2009,2,21.4927974328,5.13510342668,62807.0043767
Risaralda,2022,VIOLACION DE DATOS PERSONALES ART 269F LEY 1273 DE 2009,104,4.85153003237,0.28978864568,3556.75006367
Huila,2022,ACCESO ABUSIVO A UN SISTEMA INFORMATICO ART 269A LEY 1273 DE 2009,1,19.3941026673,4.50890774976,18141.6605485
Boyaca,2022,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES ART. 269I LEY 1273 DE 2009,2,15.906766577,1.88838670901,23137.9976372
Santander,2022,ACCESO ABUSIVO A UN SISTEMA INFORMATICO ART 269A LEY 1273 DE 2009,1,11.8780221134,2.49910965538,30561.565448
Bolívar,2022,TRANSFERENCIA NO CONSENTIDA DE ACTIVOS VALIENDOSE DE ALGUNA MANIPULACION INFORMATICA O ARTIFICIO SEMEJANTE ART. 269J LEY 1273 DE 2009,1,16.2734304452,2.19566893448,26720.3286039
Antioquia,2022,OBSTACULIZACION ILEGITIMA DEL SISTEMA INFORMATICO O RED DE TELECOMUNICACION ART 269B LEY 1273 DE 2009,1,21.4927974328,5.13510342668,62807.0043767
Cundinamarca,2022,SUPLANTACION DE SITIOS WEB PARA CAPTURAR DATOS PERSONALES ART 269G LEY 1273 DE 2009,3,13.1242523552,1.82362856343,22370.4571891
Atlántico,2022,"INTERCEPTACION DE DATOS INFORMATICOS, ART 269C LEY 1273 DE 2009",1,2.57160117315,0.27382342738,3314.45839315
Antioquia,2022,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES ART. 269I LEY 1273 DE 2009,3,21.4927974328,5.13510342668,62807.0043767
Antioquia,2022,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES ART. 269I LEY 1273 DE 2009,2,21.4927974328,5.13510342668,62807.0043767
Norte de Santander,2022,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES ART. 269I LEY 1273 DE 2009,1,10.7038112357,1.79232544093,21856.7542768
Magdalena,2022,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES ART. 269I LEY 1273 DE 2009,1,10.8137685322,1.90926645339,23135.9407566
Cundinamarca,2022,DAÑO INFORMATICO ART 269D LEY 1273 DE 2009,1,13.1242523552,1.82362856343,22370.4571891
Tolima,2022,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES ART. 269I LEY 1273 DE 2009,1,9.55010974311,1.96502937926,24139.432402
Risaralda,2022,ACCESO ABUSIVO A UN SISTEMA INFORMATICO ART 269A LEY 1273 DE 2009,1,4.85153003237,0.28978864568,3556.75006367
Magdalena,2022,VIOLACION DE DATOS PERSONALES ART 269F LEY 1273 DE 2009,1,10.8137685322,1.90926645339,23135.9407566
Antioquia,2022,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES ART. 269I LEY 1273 DE 2009,1,21.4927974328,5.13510342668,62807.0043767
Bolívar,2022,VIOLACION DE DATOS PERSONALES ART 269F LEY 1273 DE 2009,1,16.2734304452,2.19566893448,26720.3286039
Tolima,2022,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES ART. 269I LEY 1273 DE 2009,171,9.55010974311,1.96502937926,24139.432402
Huila,2022,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES ART. 269I LEY 1273 DE 2009,1,19.3941026673,4.50890774976,18141.6605485
Magdalena,2022,SUPLANTACION DE SITIOS WEB PARA CAPTURAR DATOS PERSONALES ART 269G LEY 1273 DE 2009,21,10.8137685322,1.90926645339,23135.9407566
Cundinamarca,2022,TRANSFERENCIA NO CONSENTIDA DE ACTIVOS VALIENDOSE DE ALGUNA MANIPULACION INFORMATICA O ARTIFICIO SEMEJANTE ART. 269J LEY 1273 DE 2009,5,13.1242523552,1.82362856343,22370.4571891
Arauca,2022,VIOLACION DE DATOS PERSONALES ART 269F LEY 1273 DE 2009,1,9.12458555186,1.94415690404,23851.2570586
Antioquia,2022,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES ART. 269I LEY 1273 DE 2009,7,21.4927974328,5.13510342668,62807.0043767
Valle del Cauca,2022,USO DE SOFTWARE MALICIOSO ART 269E LEY 1273 DE 2009,6,12.6568228841,1.67948958582,20665.581324
Boyaca,2022,VIOLACION DE DATOS PERSONALES ART 269F LEY 1273 DE 2009,1,15.906766577,1.88838670901,23137.9976372
Atlántico,2022,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES ART. 269I LEY 1273 DE 2009,11,2.57160117315,0.27382342738,3314.45839315
Cundinamarca,2022,ACCESO ABUSIVO A UN SISTEMA INFORMATICO ART 269A LEY 1273 DE 2009,2,13.1242523552,1.82362856343,22370.4571891
Atlántico,2022,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES ART. 269I LEY 1273 DE 2009,7,2.57160117315,0.27382342738,3314.45839315
Atlántico,2022,"ACCESO ABUSIVO A UN SISTEMA INFORMATICO ART 269A LEY 1273 DE 2009, AGRAVADO POR SER COMETIDO POR EL RESPONSABLE DE LA ADMINISTRACION, MANEJO O CONTROL DE DICHA INFORMACION. ART. 269H N8",1,2.57160117315,0.27382342738,3314.45839315
Antioquia,2022,OBSTACULIZACION ILEGITIMA DEL SISTEMA INFORMATICO O RED DE TELECOMUNICACION ART 269B LEY 1273 DE 2009,2,21.4927974328,5.13510342668,62807.0043767
Sucre,2022,SUPLANTACION DE SITIOS WEB PARA CAPTURAR DATOS PERSONALES ART 269G LEY 1273 DE 2009,1,8.55910984351,0.87080658833,10591.8002183
"BOGOTÁ, D. C.",2022,ACCESO ABUSIVO A UN SISTEMA INFORMATICO ART 269A LEY 1273 DE 2009,1,3.76537101301,0.13220788538,1622.8529796
Cundinamarca,2022,ACCESO ABUSIVO A UN SISTEMA INFORMATICO ART 269A LEY 1273 DE 2009,1,13.1242523552,1.82362856343,22370.4571891
Antioquia,2022,"ACCESO ABUSIVO A UN SISTEMA INFORMATICO ART 269A LEY 1273 DE 2009, AGRAVADO POR OBTENER PROVECHO PARA SI O PARA UN TERCERO. ART. 269H N5",1,21.4927974328,5.13510342668,62807.0043767
Antioquia,2022,SUPLANTACION DE SITIOS WEB PARA CAPTURAR DATOS PERSONALES ART 269G LEY 1273 DE 2009,1,21.4927974328,5.13510342668,62807.0043767
Meta,2022,ACCESO ABUSIVO A UN SISTEMA INFORMATICO ART 269A LEY 1273 DE 2009,2,18.1945932784,6.73617147417,82830.3839042
Cundinamarca,2022,"INTERCEPTACION DE DATOS INFORMATICOS, ART 269C LEY 1273 DE 2009",1,13.1242523552,1.82362856343,22370.4571891
Cundinamarca,2022,"SUPLANTACION DE SITIOS WEB PARA CAPTURAR DATOS PERSONALES ART 269G LEY 1273 DE 2009, AGRAVADO POR APROVECHARSE DE LA CONFIANZA DEPOSITADA POR EL POSEEDOR DE LA INFORMACION O POR QUIEN TUVIERE UN VINCULO CONTRACTUAL CON ESTE. ART. 269H N3",1,13.1242523552,1.82362856343,22370.4571891
Huila,2022,ACCESO ABUSIVO A UN SISTEMA INFORMATICO ART 269A LEY 1273 DE 2009,1,19.3941026673,4.50890774976,18141.6605485
Cundinamarca,2022,VIOLACION DE DATOS PERSONALES ART 269F LEY 1273 DE 2009,2,13.1242523552,1.82362856343,22370.4571891
Sucre,2022,ACCESO ABUSIVO A UN SISTEMA INFORMATICO ART 269A LEY 1273 DE 2009,2,8.55910984351,0.87080658833,10591.8002183
Antioquia,2022,VIOLACION DE DATOS PERSONALES ART 269F LEY 1273 DE 2009,1,21.4927974328,5.13510342668,62807.0043767
Boyaca,2022,TRANSFERENCIA NO CONSENTIDA DE ACTIVOS VALIENDOSE DE ALGUNA MANIPULACION INFORMATICA O ARTIFICIO SEMEJANTE ART. 269J LEY 1273 DE 2009,1,15.906766577,1.88838670901,23137.9976372
Quindío,2022,DAÑO INFORMATICO ART 269D LEY 1273 DE 2009,1,2.5548254469,0.15742372943,1933.57084668
Magdalena,2022,"ACCESO ABUSIVO A UN SISTEMA INFORMATICO ART 269A LEY 1273 DE 2009, AGRAVADO POR APROVECHARSE DE LA CONFIANZA DEPOSITADA POR EL POSEEDOR DE LA INFORMACION O POR QUIEN TUVIERE UN VINCULO CONTRACTUAL CON ESTE. ART. 269H N3",1,10.8137685322,1.90926645339,23135.9407566
Cundinamarca,2022,DAÑO INFORMATICO ART 269D LEY 1273 DE 2009,1,13.1242523552,1.82362856343,22370.4571891
Antioquia,2022,ACCESO ABUSIVO A UN SISTEMA INFORMATICO ART 269A LEY 1273 DE 2009,147,21.4927974328,5.13510342668,62807.0043767
Risaralda,2022,VIOLACION DE DATOS PERSONALES ART 269F LEY 1273 DE 2009,39,4.85153003237,0.28978864568,3556.75006367
Córdoba,2022,ACCESO ABUSIVO A UN SISTEMA INFORMATICO ART 269A LEY 1273 DE 2009,10,9.71124758822,2.05751146679,25086.2825214
Antioquia,2022,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES ART. 269I LEY 1273 DE 2009,2,21.4927974328,5.13510342668,62807.0043767
Magdalena,2022,VIOLACION DE DATOS PERSONALES ART 269F LEY 1273 DE 2009,105,10.8137685322,1.90926645339,23135.9407566
Antioquia,2022,ACCESO ABUSIVO A UN SISTEMA INFORMATICO ART 269A LEY 1273 DE 2009,1,21.4927974328,5.13510342668,62807.0043767
Valle del Cauca,2022,ACCESO ABUSIVO A UN SISTEMA INFORMATICO ART 269A LEY 1273 DE 2009,8,12.6568228841,1.67948958582,20665.581324
Casanare,2022,ACCESO ABUSIVO A UN SISTEMA INFORMATICO ART 269A LEY 1273 DE 2009,1,12.1327629426,3.6150628285,44394.2358513
Meta,2022,ACCESO ABUSIVO A UN SISTEMA INFORMATICO ART 269A LEY 1273 DE 2009,1,18.1945932784,6.73617147417,82830.3839042
Cundinamarca,2022,"INTERCEPTACION DE DATOS INFORMATICOS, ART 269C LEY 1273 DE 2009",1,13.1242523552,1.82362856343,22370.4571891
Antioquia,2022,VIOLACION DE DATOS PERSONALES ART 269F LEY 1273 DE 2009,1,21.4927974328,5.13510342668,62807.0043767
Magdalena,2022,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES ART. 269I LEY 1273 DE 2009,4,10.8137685322,1.90926645339,23135.9407566
Norte de Santander,2022,TRANSFERENCIA NO CONSENTIDA DE ACTIVOS VALIENDOSE DE ALGUNA MANIPULACION INFORMATICA O ARTIFICIO SEMEJANTE ART. 269J LEY 1273 DE 2009,3,10.7038112357,1.79232544093,21856.7542768
Antioquia,2022,VIOLACION DE DATOS PERSONALES ART 269F LEY 1273 DE 2009,8,21.4927974328,5.13510342668,62807.0043767
Santander,2022,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES ART. 269I LEY 1273 DE 2009,1,11.8780221134,2.49910965538,30561.565448
Huila,2022,TRANSFERENCIA NO CONSENTIDA DE ACTIVOS VALIENDOSE DE ALGUNA MANIPULACION INFORMATICA O ARTIFICIO SEMEJANTE ART. 269J LEY 1273 DE 2009,1,19.3941026673,4.50890774976,18141.6605485
Antioquia,2022,ACCESO ABUSIVO A UN SISTEMA INFORMATICO ART 269A LEY 1273 DE 2009,1,21.4927974328,5.13510342668,62807.0043767
Casanare,2022,ACCESO ABUSIVO A UN SISTEMA INFORMATICO ART 269A LEY 1273 DE 2009,1,12.1327629426,3.6150628285,44394.2358513
Cundinamarca,2022,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES ART. 269I LEY 1273 DE 2009,1,13.1242523552,1.82362856343,22370.4571891
Antioquia,2022,VIOLACION DE DATOS PERSONALES ART 269F LEY 1273 DE 2009,1,21.4927974328,5.13510342668,62807.0043767
Valle del Cauca,2022,"ACCESO ABUSIVO A UN SISTEMA INFORMATICO ART 269A LEY 1273 DE 2009, AGRAVADO POR OBTENER PROVECHO PARA SI O PARA UN TERCERO. ART. 269H N5",1,12.6568228841,1.67948958582,20665.581324
Meta,2022,"SUPLANTACION DE SITIOS WEB PARA CAPTURAR DATOS PERSONALES ART 269G LEY 1273 DE 2009, AGRAVADO POR UTILIZAR COMO INSTRUMENTO A UN TERCERO DE BUENA FE ART. 269H N7",1,18.1945932784,6.73617147417,82830.3839042
Antioquia,2022,SUPLANTACION DE SITIOS WEB PARA CAPTURAR DATOS PERSONALES ART 269G LEY 1273 DE 2009,2,21.4927974328,5.13510342668,62807.0043767
Norte de Santander,2022,VIOLACION DE DATOS PERSONALES ART 269F LEY 1273 DE 2009,1,10.7038112357,1.79232544093,21856.7542768
Cauca,2022,"VIOLACION DE DATOS PERSONALES ART 269F LEY 1273 DE 2009, AGRAVADO POR REVELAR O DAR A CONOCER EL CONTENIDO DE LA INFORMACION EN PERJUICIO DE OTRO ART. 269H N4",1,13.9531135167,2.5344153441,31242.8671159
Cundinamarca,2022,"DE LOS ATENTADOS CONTRA LA CONFIDENCIALIDAD, LA INTEGRIDAD Y LA DISPONIBILIDAD DE LOS DATOS Y DE LOS SISTEMAS INFORMATICOS",1,13.1242523552,1.82362856343,22370.4571891
Valle del Cauca,2022,VIOLACION DE DATOS PERSONALES ART 269F LEY 1273 DE 2009,1,12.6568228841,1.67948958582,20665.581324
Meta,2022,VIOLACION DE DATOS PERSONALES ART 269F LEY 1273 DE 2009,1,18.1945932784,6.73617147417,82830.3839042
Meta,2022,SUPLANTACION DE SITIOS WEB PARA CAPTURAR DATOS PERSONALES ART 269G LEY 1273 DE 2009,1,18.1945932784,6.73617147417,82830.3839042
Vichada,2022,VIOLACION DE DATOS PERSONALES ART 269F LEY 1273 DE 2009,1,17.2926130132,8.10068049164,100063.370595
La Guajira,2022,SUPLANTACION DE SITIOS WEB PARA CAPTURAR DATOS PERSONALES ART 269G LEY 1273 DE 2009,4,10.792601093,1.70697645445,20620.2390234
Bolívar,2022,TRANSFERENCIA NO CONSENTIDA DE ACTIVOS VALIENDOSE DE ALGUNA MANIPULACION INFORMATICA O ARTIFICIO SEMEJANTE ART. 269J LEY 1273 DE 2009,1,16.2734304452,2.19566893448,26720.3286039
Valle del Cauca,2022,"ACCESO ABUSIVO A UN SISTEMA INFORMATICO ART 269A LEY 1273 DE 2009, AGRAVADO POR APROVECHARSE DE LA CONFIANZA DEPOSITADA POR EL POSEEDOR DE LA INFORMACION O POR QUIEN TUVIERE UN VINCULO CONTRACTUAL CON ESTE. ART. 269H N3",1,12.6568228841,1.67948958582,20665.581324
Cundinamarca,2022,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES ART. 269I LEY 1273 DE 2009,33,13.1242523552,1.82362856343,22370.4571891
Bolívar,2022,VIOLACION DE DATOS PERSONALES ART 269F LEY 1273 DE 2009,2,16.2734304452,2.19566893448,26720.3286039
Córdoba,2022,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES ART. 269I LEY 1273 DE 2009,13,9.71124758822,2.05751146679,25086.2825214
Quindío,2022,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES ART. 269I LEY 1273 DE 2009,4,2.5548254469,0.15742372943,1933.57084668
Cundinamarca,2022,ACCESO ABUSIVO A UN SISTEMA INFORMATICO ART 269A LEY 1273 DE 2009,1,13.1242523552,1.82362856343,22370.4571891
Cesar,2022,"ACCESO ABUSIVO A UN SISTEMA INFORMATICO ART 269A LEY 1273 DE 2009, AGRAVADO POR REALIZARSE SOBRE REDES O SISTEMAS INFORMATICOS O DE COMUNICACIONES ESTATALES U OFICIALES O DEL SECTOR FINANCIERO, NACIONALES O EXTRANJEROS ART. 269H N1",1,12.5722523685,1.85820475345,22565.3114034
Antioquia,2022,ACCESO ABUSIVO A UN SISTEMA INFORMATICO ART 269A LEY 1273 DE 2009,2,21.4927974328,5.13510342668,62807.0043767
Tolima,2022,ACCESO ABUSIVO A UN SISTEMA INFORMATICO ART 269A LEY 1273 DE 2009,1,9.55010974311,1.96502937926,24139.432402
Cundinamarca,2022,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES ART. 269I LEY 1273 DE 2009,1,13.1242523552,1.82362856343,22370.4571891
Tolima,2022,TRANSFERENCIA NO CONSENTIDA DE ACTIVOS VALIENDOSE DE ALGUNA MANIPULACION INFORMATICA O ARTIFICIO SEMEJANTE ART. 269J LEY 1273 DE 2009,2,9.55010974311,1.96502937926,24139.432402
Atlántico,2022,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES ART. 269I LEY 1273 DE 2009,1,2.57160117315,0.27382342738,3314.45839315
Quindío,2022,ACCESO ABUSIVO A UN SISTEMA INFORMATICO ART 269A LEY 1273 DE 2009,1,2.5548254469,0.15742372943,1933.57084668
Antioquia,2022,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES ART. 269I LEY 1273 DE 2009,1,21.4927974328,5.13510342668,62807.0043767
Atlántico,2022,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES ART. 269I LEY 1273 DE 2009,5,2.57160117315,0.27382342738,3314.45839315
Santander,2022,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES ART. 269I LEY 1273 DE 2009,1,11.8780221134,2.49910965538,30561.565448
Cundinamarca,2022,VIOLACION DE DATOS PERSONALES ART 269F LEY 1273 DE 2009,1,13.1242523552,1.82362856343,22370.4571891
Valle del Cauca,2022,TRANSFERENCIA NO CONSENTIDA DE ACTIVOS VALIENDOSE DE ALGUNA MANIPULACION INFORMATICA O ARTIFICIO SEMEJANTE ART. 269J LEY 1273 DE 2009,4,12.6568228841,1.67948958582,20665.581324
Atlántico,2022,ACCESO ABUSIVO A UN SISTEMA INFORMATICO ART 269A LEY 1273 DE 2009,1,2.57160117315,0.27382342738,3314.45839315
Antioquia,2022,TRANSFERENCIA NO CONSENTIDA DE ACTIVOS VALIENDOSE DE ALGUNA MANIPULACION INFORMATICA O ARTIFICIO SEMEJANTE ART. 269J LEY 1273 DE 2009,2,21.4927974328,5.13510342668,62807.0043767
